team,pretourney_odds,season,implied_probability
Houston,600,2022,0.14285714285714285
Alabama,800,2022,0.1111111111111111
Kansas,800,2022,0.1111111111111111
UCLA,900,2022,0.1
Purdue,1100,2022,0.08333333333333333
Arizona,1200,2022,0.07692307692307693
Baylor,1600,2022,0.058823529411764705
Connecticut,2000,2022,0.047619047619047616
Gonzaga,2000,2022,0.047619047619047616
Texas,2500,2022,0.038461538461538464
Marquette,2500,2022,0.038461538461538464
Tennessee,3000,2022,0.03225806451612903
TCU,3300,2022,0.029411764705882353
Saint Mary's (CA),3300,2022,0.029411764705882353
Creighton,4000,2022,0.024390243902439025
Indiana,4000,2022,0.024390243902439025
Virginia,5000,2022,0.0196078431372549
Xavier,5000,2022,0.0196078431372549
Duke,5000,2022,0.0196078431372549
Arkansas,5000,2022,0.0196078431372549
Kentucky,5000,2022,0.0196078431372549
Miami (FL),5000,2022,0.0196078431372549
Kansas State,6600,2022,0.014925373134328358
Michigan State,6600,2022,0.014925373134328358
Texas A&M,6600,2022,0.014925373134328358
Rutgers,6600,2022,0.014925373134328358
Illinois,8000,2022,0.012345679012345678
Iowa,8000,2022,0.012345679012345678
Maryland,8000,2022,0.012345679012345678
Iowa State,10000,2022,0.009900990099009901
San Diego State,10000,2022,0.009900990099009901
Providence,12500,2022,0.007936507936507936
West Virginia,12500,2022,0.007936507936507936
Northwestern,12500,2022,0.007936507936507936
North Carolina,15000,2022,0.006622516556291391
Auburn,15000,2022,0.006622516556291391
Memphis,15000,2022,0.006622516556291391
NC State,15000,2022,0.006622516556291391
Ohio State,20000,2022,0.004975124378109453
Michigan,20000,2022,0.004975124378109453
Missouri,20000,2022,0.004975124378109453
Oregon,20000,2022,0.004975124378109453
USC,20000,2022,0.004975124378109453
Oklahoma State,20000,2022,0.004975124378109453
Arizona State,20000,2022,0.004975124378109453
New Mexico,20000,2022,0.004975124378109453
Boise State,20000,2022,0.004975124378109453
Pittsburgh,20000,2022,0.004975124378109453
Florida Atlantic,20000,2022,0.004975124378109453
Utah State,20000,2022,0.004975124378109453
Clemson,25000,2022,0.00398406374501992
Wisconsin,25000,2022,0.00398406374501992
Oklahoma,25000,2022,0.00398406374501992
Penn State,25000,2022,0.00398406374501992
Texas Tech,25000,2022,0.00398406374501992
Dayton,25000,2022,0.00398406374501992
College of Charleston,25000,2022,0.00398406374501992
Seton Hall,25000,2022,0.00398406374501992
Villanova,30000,2022,0.0033222591362126247
Mississippi State,30000,2022,0.0033222591362126247
Nevada,35000,2022,0.002849002849002849
Wake Forest,50000,2022,0.001996007984031936
Virginia Tech,50000,2022,0.001996007984031936
Florida,50000,2022,0.001996007984031936
Saint Louis,50000,2022,0.001996007984031936
Syracuse,50000,2022,0.001996007984031936
St John's,50000,2022,0.001996007984031936
Utah,50000,2022,0.001996007984031936
UAB,50000,2022,0.001996007984031936
Cincinnati,50000,2022,0.001996007984031936
VCU,50000,2022,0.001996007984031936
North Texas,50000,2022,0.001996007984031936
Vanderbilt,50000,2022,0.001996007984031936
Kent State,50000,2022,0.001996007984031936
Drake,50000,2022,0.001996007984031936
Oral Roberts,50000,2022,0.001996007984031936
Colorado,100000,2022,0.000999000999000999
BYU,100000,2022,0.000999000999000999
UNLV,100000,2022,0.000999000999000999
Washington State,100000,2022,0.000999000999000999
San Francisco,100000,2022,0.000999000999000999
Nebraska,100000,2022,0.000999000999000999
Washington,100000,2022,0.000999000999000999
Central Florida,100000,2022,0.000999000999000999
Notre Dame,100000,2022,0.000999000999000999
LSU,100000,2022,0.000999000999000999
Butler,100000,2022,0.000999000999000999
Wichita State,100000,2022,0.000999000999000999
Stanford,100000,2022,0.000999000999000999
Ole Miss,100000,2022,0.000999000999000999
Boston?College,100000,2022,0.000999000999000999
Florida State,100000,2022,0.000999000999000999
Iona,100000,2022,0.000999000999000999
DePaul,100000,2022,0.000999000999000999
Georgia Tech,100000,2022,0.000999000999000999
Temple,100000,2022,0.000999000999000999
Tulane,100000,2022,0.000999000999000999
UC Santa Barbara,100000,2022,0.000999000999000999
Vermont,100000,2022,0.000999000999000999
UNC Greensboro,100000,2022,0.000999000999000999
Liberty,100000,2022,0.000999000999000999
Minnesota,100000,2022,0.000999000999000999
SMU,100000,2022,0.000999000999000999
Akron,100000,2022,0.000999000999000999
Colgate,100000,2022,0.000999000999000999
Missouri State,100000,2022,0.000999000999000999
Georgia,100000,2022,0.000999000999000999
Wyoming,200000,2022,0.0004997501249375312
Colorado State,200000,2022,0.0004997501249375312
Davidson,200000,2022,0.0004997501249375312
St Bonaventure,200000,2022,0.0004997501249375312
Western Kentucky,200000,2022,0.0004997501249375312
Richmond,200000,2022,0.0004997501249375312
South Carolina,200000,2022,0.0004997501249375312
Oregon State,200000,2022,0.0004997501249375312
South Florida,200000,2022,0.0004997501249375312
Loyola Chicago,200000,2022,0.0004997501249375312
Louisville,200000,2022,0.0004997501249375312
South Dakota State,200000,2022,0.0004997501249375312
Georgetown,200000,2022,0.0004997501249375312
Massachusetts,200000,2022,0.0004997501249375312
Rhode Island,200000,2022,0.0004997501249375312
Fresno State,200000,2022,0.0004997501249375312
California,200000,2022,0.0004997501249375312
East Carolina,200000,2022,0.0004997501249375312
Montana State,200000,2022,0.0004997501249375312
Norfolk State,200000,2022,0.0004997501249375312
Penn,200000,2022,0.0004997501249375312
Ohio,200000,2022,0.0004997501249375312
Cleveland State,200000,2022,0.0004997501249375312
Drexel,200000,2022,0.0004997501249375312
Eastern Washington,200000,2022,0.0004997501249375312
Harvard,200000,2022,0.0004997501249375312
Howard,200000,2022,0.0004997501249375312
Morehead State,200000,2022,0.0004997501249375312
Air Force,200000,2022,0.0004997501249375312
San Jose State,200000,2022,0.0004997501249375312
Murray State,15000,2022,0.006622516556291391
Belmont,15000,2022,0.006622516556291391
New Mexico State,15000,2022,0.006622516556291391
Bryant,15000,2022,0.006622516556291391
Winthrop,15000,2022,0.006622516556291391
Tulsa,15000,2022,0.006622516556291391
Northern Iowa,15000,2022,0.006622516556291391
Longwood,15000,2022,0.006622516556291391
Texas Southern,15000,2022,0.006622516556291391
Wright State,15000,2022,0.006622516556291391
Chattanooga,15000,2022,0.006622516556291391
Eastern Michigan,15000,2022,0.006622516556291391
Abilene Christian,15000,2022,0.006622516556291391
Delaware,15000,2022,0.006622516556291391
Appalachian State,15000,2022,0.006622516556291391
Cal St Fullerton,15000,2022,0.006622516556291391
East Tennessee State,15000,2022,0.006622516556291391
Georgia State,15000,2022,0.006622516556291391
Jacksonville State,15000,2022,0.006622516556291391
St Peter's,15000,2022,0.006622516556291391
